vuosi,nettomyynti_yht,nettomyynti_sahkoinen,nettomyynti_painettu
2010,1179950000,25523000,1154426000
2011,1204526000,39239000,1165287000
2012,1160336000,45221000,1115115000
2013,1058598000,56467000,1002130000
2014,1023874000,70489000,950150000
2015,987628000,83746000,900816000
2016,953163000,94820000,858343000
2017,936350000,114112000,822238000
2018,900244000,128264000,771980000
2019,876280000,142276000,732866000
2020,796277000,158425000,636760000
2021,821514000,186504000,635010000
2022,807420000,201148000,606272000
2023,775074000,207664000,567410000
2024,740862000,232508000,508354000
2025,731984000,253471000,478513000
