Vuosi,Lehtityyppi,Ilmoitustuotto,Kuluttajamyynti
2010,kaupunkilehti,76,1
2010,muut lehdet,63,132
2010,paikallislehti,71,60
2010,päivälehti,416,361
2011,kaupunkilehti,82,1
2011,muut lehdet,65,131
2011,paikallislehti,74,62
2011,päivälehti,428,362
2012,kaupunkilehti,79,1
2012,muut lehdet,64,128
2012,paikallislehti,77,62
2012,päivälehti,393,356
2013,kaupunkilehti,72,1
2013,muut lehdet,64,117
2013,paikallislehti,64,60
2013,päivälehti,329,351
2014,kaupunkilehti,71,1
2014,muut lehdet,67,112
2014,paikallislehti,62,59
2014,päivälehti,304,344
2015,kaupunkilehti,70,1
2015,muut lehdet,69,105
2015,paikallislehti,59,59
2015,päivälehti,283,338
2016,kaupunkilehti,66,1
2016,muut lehdet,71,98
2016,paikallislehti,57,58
2016,päivälehti,270,333
2017,kaupunkilehti,66,1
2017,muut lehdet,79,92
2017,paikallislehti,58,56
2017,päivälehti,251,332
2018,kaupunkilehti,61,1
2018,muut lehdet,82,86
2018,paikallislehti,53,55
2018,päivälehti,229,333
2019,kaupunkilehti,56,1
2019,muut lehdet,80,87
2019,paikallislehti,51,54
2019,päivälehti,211,335
2020,kaupunkilehti,42,1
2020,muut lehdet,76,84
2020,paikallislehti,39,55
2020,päivälehti,161,338
2021,kaupunkilehti,46,1
2021,muut lehdet,89,83
2021,paikallislehti,43,56
2021,päivälehti,166,339
2022,kaupunkilehti,45,1
2022,muut lehdet,91,84
2022,paikallislehti,42,56
2022,päivälehti,155,333
2023,kaupunkilehti,41,0
2023,muut lehdet,86,84
2023,paikallislehti,42,58
2023,päivälehti,140,324
2024,kaupunkilehti,34,0
2024,muut lehdet,85,86
2024,paikallislehti,39,58
2024,päivälehti,121,317
2025,kaupunkilehti,32,0
2025,muut lehdet,85,84
2025,paikallislehti,39,57
2025,päivälehti,113,316
