Vuosi,Lehtityyppi,Nettomyynti,Painettu,Sähköinen
2010,kaupunkilehti,77,77,0
2010,muut lehdet,195,181,14
2010,paikallislehti,131,131,0
2010,päivälehti,777,765,11
2011,kaupunkilehti,83,83,0
2011,muut lehdet,196,172,24
2011,paikallislehti,136,136,0
2011,päivälehti,790,775,15
2012,kaupunkilehti,80,80,0
2012,muut lehdet,191,165,27
2012,paikallislehti,140,140,0
2012,päivälehti,749,731,18
2013,kaupunkilehti,73,73,1
2013,muut lehdet,181,148,33
2013,paikallislehti,124,124,0
2013,päivälehti,680,658,22
2014,kaupunkilehti,72,72,1
2014,muut lehdet,179,138,41
2014,paikallislehti,125,121,1
2014,päivälehti,648,619,28
2015,kaupunkilehti,71,70,1
2015,muut lehdet,175,128,46
2015,paikallislehti,121,117,2
2015,päivälehti,621,585,35
2016,kaupunkilehti,67,66,1
2016,muut lehdet,169,121,48
2016,paikallislehti,115,112,2
2016,päivälehti,603,559,44
2017,kaupunkilehti,67,67,1
2017,muut lehdet,171,112,60
2017,paikallislehti,114,111,3
2017,päivälehti,584,533,51
2018,kaupunkilehti,62,61,1
2018,muut lehdet,168,102,66
2018,paikallislehti,107,105,3
2018,päivälehti,562,504,58
2019,kaupunkilehti,57,56,1
2019,muut lehdet,168,98,70
2019,paikallislehti,106,102,3
2019,päivälehti,545,477,68
2020,kaupunkilehti,43,42,1
2020,muut lehdet,160,88,72
2020,paikallislehti,95,89,5
2020,päivälehti,499,418,81
2021,kaupunkilehti,47,45,1
2021,muut lehdet,172,84,87
2021,paikallislehti,99,93,6
2021,päivälehti,504,413,92
2022,kaupunkilehti,46,45,1
2022,muut lehdet,175,82,93
2022,paikallislehti,98,91,7
2022,päivälehti,488,388,100
2023,kaupunkilehti,41,40,1
2023,muut lehdet,170,78,92
2023,paikallislehti,100,92,8
2023,päivälehti,465,358,107
2024,kaupunkilehti,34,32,2
2024,muut lehdet,171,72,98
2024,paikallislehti,96,86,10
2024,päivälehti,439,317,122
2025,kaupunkilehti,32,30,2
2025,muut lehdet,171,68,104
2025,paikallislehti,100,87,13
2025,päivälehti,429,294,135
