Vuosi,Lehtityyppi,Painettu,Sähköinen
2010,Päivälehdet,765,11
2010,Paikallislehdet,131,0
2010,Kaupunkilehdet,77,0
2010,Muut lehdet,181,14
2011,Päivälehdet,775,15
2011,Paikallislehdet,136,0
2011,Kaupunkilehdet,83,0
2011,Muut lehdet,172,24
2012,Päivälehdet,731,18
2012,Paikallislehdet,140,0
2012,Kaupunkilehdet,80,0
2012,Muut lehdet,165,27
2013,Päivälehdet,658,22
2013,Paikallislehdet,124,0
2013,Kaupunkilehdet,73,1
2013,Muut lehdet,148,33
2014,Päivälehdet,619,28
2014,Paikallislehdet,121,1
2014,Kaupunkilehdet,72,1
2014,Muut lehdet,138,41
2015,Päivälehdet,585,35
2015,Paikallislehdet,117,2
2015,Kaupunkilehdet,70,1
2015,Muut lehdet,128,46
2016,Päivälehdet,559,44
2016,Paikallislehdet,112,2
2016,Kaupunkilehdet,66,1
2016,Muut lehdet,121,48
2017,Päivälehdet,533,51
2017,Paikallislehdet,111,3
2017,Kaupunkilehdet,67,1
2017,Muut lehdet,112,60
2018,Päivälehdet,504,58
2018,Paikallislehdet,105,3
2018,Kaupunkilehdet,61,1
2018,Muut lehdet,102,66
2019,Päivälehdet,477,68
2019,Paikallislehdet,102,3
2019,Kaupunkilehdet,56,1
2019,Muut lehdet,98,70
2020,Päivälehdet,418,81
2020,Paikallislehdet,89,5
2020,Kaupunkilehdet,42,1
2020,Muut lehdet,88,72
2021,Päivälehdet,413,92
2021,Paikallislehdet,93,6
2021,Kaupunkilehdet,45,1
2021,Muut lehdet,84,87
2022,Päivälehdet,388,100
2022,Paikallislehdet,91,7
2022,Kaupunkilehdet,45,1
2022,Muut lehdet,82,93
2023,Päivälehdet,358,107
2023,Paikallislehdet,92,8
2023,Kaupunkilehdet,40,1
2023,Muut lehdet,78,92
2024,Päivälehdet,317,122
2024,Paikallislehdet,86,10
2024,Kaupunkilehdet,32,2
2024,Muut lehdet,72,98
2025,Päivälehdet,294,135
2025,Paikallislehdet,87,13
2025,Kaupunkilehdet,30,2
2025,Muut lehdet,68,104
