Vuosi,Lehtityyppi,Tilaustulot,Mainostulot
2010,Päivälehdet,361,416
2010,Paikallislehdet,60,71
2010,Kaupunkilehdet,1,76
2010,Muut lehdet,132,63
2011,Päivälehdet,362,428
2011,Paikallislehdet,62,74
2011,Kaupunkilehdet,1,82
2011,Muut lehdet,131,65
2012,Päivälehdet,356,393
2012,Paikallislehdet,62,77
2012,Kaupunkilehdet,1,79
2012,Muut lehdet,128,64
2013,Päivälehdet,351,329
2013,Paikallislehdet,60,64
2013,Kaupunkilehdet,1,72
2013,Muut lehdet,117,64
2014,Päivälehdet,344,304
2014,Paikallislehdet,59,62
2014,Kaupunkilehdet,1,71
2014,Muut lehdet,112,67
2015,Päivälehdet,338,283
2015,Paikallislehdet,59,59
2015,Kaupunkilehdet,1,70
2015,Muut lehdet,105,69
2016,Päivälehdet,333,270
2016,Paikallislehdet,58,57
2016,Kaupunkilehdet,1,66
2016,Muut lehdet,98,71
2017,Päivälehdet,332,251
2017,Paikallislehdet,56,58
2017,Kaupunkilehdet,1,66
2017,Muut lehdet,92,79
2018,Päivälehdet,333,229
2018,Paikallislehdet,55,53
2018,Kaupunkilehdet,1,61
2018,Muut lehdet,86,82
2019,Päivälehdet,335,211
2019,Paikallislehdet,54,51
2019,Kaupunkilehdet,1,56
2019,Muut lehdet,87,80
2020,Päivälehdet,338,161
2020,Paikallislehdet,55,39
2020,Kaupunkilehdet,1,42
2020,Muut lehdet,84,76
2021,Päivälehdet,339,166
2021,Paikallislehdet,56,43
2021,Kaupunkilehdet,1,46
2021,Muut lehdet,83,89
2022,Päivälehdet,333,155
2022,Paikallislehdet,56,42
2022,Kaupunkilehdet,1,45
2022,Muut lehdet,84,91
2023,Päivälehdet,324,140
2023,Paikallislehdet,58,42
2023,Kaupunkilehdet,0,41
2023,Muut lehdet,84,86
2024,Päivälehdet,319,120
2024,Paikallislehdet,58,39
2024,Kaupunkilehdet,0,34
2024,Muut lehdet,86,85
2025,Päivälehdet,316,113
2025,Paikallislehdet,59,41
2025,Kaupunkilehdet,0,32
2025,Muut lehdet,87,85
